Continent,WeekRange,Mean,Std,Min,Max
America,28/02/2021 - 06/03/2021,7401.9795918367345,17785.93404931071,0,76022
America,07/03/2021 - 13/03/2021,7792.517006802721,18647.719833932668,0,82471
America,14/03/2021 - 20/03/2021,8062.768707482993,19189.76866952734,0,88652
America,21/03/2021 - 27/03/2021,8996.30612244898,20737.378471528184,0,98261
America,28/03/2021 - 03/04/2021,8831.687074829932,19511.5738584988,0,88725
America,04/04/2021 - 10/04/2021,10057.86394557823,20744.010203522077,0,88696
America,11/04/2021 - 17/04/2021,10172.102040816326,19973.268488305934,0,84387
America,18/04/2021 - 24/04/2021,9428.802721088436,17411.824538576777,0,73988
America,25/04/2021 - 01/05/2021,8784.6462585034,16612.772121029135,0,77279
America,02/05/2021 - 08/05/2021,8280.272108843537,15801.669016042983,0,76844
America,09/05/2021 - 15/05/2021,8043.469387755102,15573.852309483938,0,80030
America,16/05/2021 - 22/05/2021,8256.700680272108,15950.549125435928,0,83387
America,23/05/2021 - 29/05/2021,7973.585034013606,14990.627468130462,0,80245
America,30/05/2021 - 05/06/2021,7938.591836734694,15410.572786664474,0,96278
America,06/06/2021 - 12/06/2021,7762.523809523809,16011.728918623068,0,91244
America,13/06/2021 - 19/06/2021,7680.700680272109,16769.843611647342,0,95444
America,20/06/2021 - 26/06/2021,7663.340136054422,17188.032443955704,0,124248
America,27/06/2021 - 03/07/2021,6537.666666666667,12671.997437091832,0,65956
America,04/07/2021 - 10/07/2021,6415.476190476191,12002.040703953673,0,61683
America,11/07/2021 - 17/07/2021,6582.299319727891,12420.636274271108,0,78031
America,18/07/2021 - 24/07/2021,7390.39455782313,16928.43531699294,-90,120781
America,25/07/2021 - 31/07/2021,8272.312925170068,20981.991206029525,0,191156
America,01/08/2021 - 07/08/2021,9628.421768707483,27753.60302363453,0,251959
America,08/08/2021 - 14/08/2021,10117.197278911564,30658.032660710607,0,226712
America,15/08/2021 - 21/08/2021,10977.265306122448,34486.51042060902,0,239003
America,22/08/2021 - 28/08/2021,10782.482993197278,35915.250951687005,0,238345
America,29/08/2021 - 04/09/2021,10732.918367346938,37654.39762752713,0,235115
America,05/09/2021 - 11/09/2021,9679.224489795919,34434.119066326006,0,241690
America,12/09/2021 - 18/09/2021,10052.265306122448,34825.23149709691,0,210630
America,19/09/2021 - 25/09/2021,8087.081632653061,27256.30929184046,0,174569
America,26/09/2021 - 02/10/2021,7259.517006802721,24550.131296793043,0,154832
America,03/10/2021 - 09/10/2021,6329.006802721088,21771.763197610573,0,140564
America,10/10/2021 - 16/10/2021,5436.734693877551,18902.601198953143,0,111005
America,17/10/2021 - 23/10/2021,4891.768707482993,16552.7661050037,0,96631
America,24/10/2021 - 30/10/2021,4738.6122448979595,16818.482334837656,0,109473
America,31/10/2021 - 06/11/2021,4685.224489795918,16729.194576407033,0,109840
America,07/11/2021 - 13/11/2021,5164.911564625851,18874.69430031866,-407,144121
America,14/11/2021 - 20/11/2021,5574.142857142857,21083.067218563472,0,131057
America,21/11/2021 - 27/11/2021,4709.802721088436,17616.43122809609,0,140896
America,28/11/2021 - 04/12/2021,6940.414965986394,27604.417551683997,0,185150
America,05/12/2021 - 11/12/2021,6791.333333333333,26957.711630131613,0,174919
America,12/12/2021 - 18/12/2021,7364.619047619048,29488.420929850974,0,192508
America,19/12/2021 - 25/12/2021,11304.52380952381,44485.90961936264,0,274389
America,26/12/2021 - 01/01/2022,24123.1768707483,93412.62917261834,0,597949
America,02/01/2022 - 08/01/2022,44193.748299319726,160416.38460217667,0,1042792
America,09/01/2022 - 15/01/2022,55274.06122448979,182020.21435164698,0,1354505
America,16/01/2022 - 22/01/2022,55676.204081632655,163346.38192113466,0,1132846
America,23/01/2022 - 29/01/2022,47574.91836734694,126951.97495269834,0,908747
America,30/01/2022 - 05/02/2022,31660.843537414967,77641.29184759242,0,535312
America,06/02/2022 - 12/02/2022,21357.918367346938,50885.67917407596,0,342590
America,13/02/2022 - 19/02/2022,15062.251700680272,32758.40921544609,0,167199
America,20/02/2022 - 26/02/2022,10723.707482993197,23400.47789238353,0,131385
America,27/02/2022 - 05/03/2022,6710.9455782312925,15132.296891169477,0,96764
America,06/03/2022 - 12/03/2022,5859.2040816326535,13313.223915072562,0,74487
America,13/03/2022 - 19/03/2022,4856.360544217687,11178.003928303671,-1073,52025
America,20/03/2022 - 26/03/2022,4092.4149659863947,9693.283218780958,0,46721
America,27/03/2022 - 02/04/2022,3417.4285714285716,8094.824931475227,0,44550
America,03/04/2022 - 09/04/2022,3688.1632653061224,10094.516020369212,0,73178
America,10/04/2022 - 16/04/2022,3172.061224489796,9197.976930054507,-11193,56068
America,17/04/2022 - 23/04/2022,3670.278911564626,12298.182703360575,0,88576
America,24/04/2022 - 30/04/2022,3949.1496598639455,13092.848846181469,0,89812
America,01/05/2022 - 07/05/2022,4882.006802721088,18190.919878725206,-400,129052
America,08/05/2022 - 14/05/2022,5542.278911564626,21152.44446730031,0,161021
America,15/05/2022 - 21/05/2022,7086.115646258503,28761.51640136021,-1556,203833
America,22/05/2022 - 28/05/2022,7298.591836734694,26728.01623297303,0,210740
America,29/05/2022 - 04/06/2022,8031.693877551021,29376.38754673654,0,228723
America,05/06/2022 - 11/06/2022,8613.102040816326,27698.70177827555,0,198599
America,12/06/2022 - 18/06/2022,7632.836734693878,26821.79829609073,0,184888
America,19/06/2022 - 25/06/2022,9659.857142857143,28688.57978837525,0,185360
America,26/06/2022 - 02/07/2022,10755.707482993197,33189.96499319432,0,189893
America,03/07/2022 - 09/07/2022,10700.823129251701,29248.498099762153,0,200404
