Continent,Week,mean,std,min,max
America,08/11/2020 - 14/11/2020,5742.12,23108.014955814815,0,130032
America,15/11/2020 - 21/11/2020,7072.211428571429,29503.917189680098,0,178761
America,22/11/2020 - 28/11/2020,7948.4228571428575,34079.353843901816,0,201085
America,29/11/2020 - 05/12/2020,7916.754285714285,33410.025747016254,0,215202
America,06/12/2020 - 12/12/2020,9255.177142857143,39623.93781277018,0,235134
America,13/12/2020 - 19/12/2020,9928.891428571429,42777.90737312633,0,236902
America,20/12/2020 - 26/12/2020,10187.285714285714,43447.87199157236,-4,246440
America,27/12/2020 - 02/01/2021,8748.091428571428,37481.08025272394,0,220787
America,03/01/2021 - 09/01/2021,10434.205714285714,44805.724902749724,0,313926
America,10/01/2021 - 16/01/2021,11793.2,49181.53988838804,0,302860
America,17/01/2021 - 23/01/2021,10793.382857142857,42856.561100537125,0,244336
America,24/01/2021 - 30/01/2021,8769.548571428571,33435.414025456026,0,192027
America,31/01/2021 - 06/02/2021,7713.16,28970.450489032293,0,166715
America,07/02/2021 - 13/02/2021,6238.691428571428,23311.29161736333,0,130407
America,14/02/2021 - 20/02/2021,5045.371428571429,17993.36542621329,0,106152
America,21/02/2021 - 27/02/2021,3888.417142857143,12983.973145645015,0,74874
America,28/02/2021 - 06/03/2021,4002.88,13530.078844245305,0,77060
America,07/03/2021 - 13/03/2021,3626.72,11702.577055140215,0,68441
America,14/03/2021 - 20/03/2021,3480.897142857143,10669.514688612082,0,62274
America,21/03/2021 - 27/03/2021,3672.194285714286,10947.367398171209,0,62203
America,28/03/2021 - 03/04/2021,4239.354285714286,12766.323018101015,0,87825
America,04/04/2021 - 10/04/2021,4363.908571428571,12923.26720738343,-130,76845
America,11/04/2021 - 17/04/2021,5222.377142857143,14162.23560285377,0,84412
America,18/04/2021 - 24/04/2021,5147.794285714286,13998.024559438156,0,82748
America,25/04/2021 - 01/05/2021,4828.32,12131.481093324968,0,66213
America,02/05/2021 - 08/05/2021,4236.88,10428.76380097621,0,57726
America,09/05/2021 - 15/05/2021,3765.177142857143,8911.700345228892,0,48165
America,16/05/2021 - 22/05/2021,3543.3771428571426,7799.492174416543,0,41582
America,23/05/2021 - 29/05/2021,3646.114285714286,8006.495133339998,0,39652
America,30/05/2021 - 05/06/2021,3223.8285714285716,7200.1490473306685,0,41080
America,06/06/2021 - 12/06/2021,2998.76,6441.234442051559,0,35355
America,13/06/2021 - 19/06/2021,2692.2,5627.5592042821845,0,31137
America,20/06/2021 - 26/06/2021,2331.822857142857,4814.033198977117,0,27260
America,27/06/2021 - 03/07/2021,2238.422857142857,4719.630946211796,0,27319
America,04/07/2021 - 10/07/2021,2212.1485714285714,4740.987329961677,0,29596
America,11/07/2021 - 17/07/2021,2500.457142857143,5638.373558706493,-2,46974
America,18/07/2021 - 24/07/2021,3077.24,8176.892643901168,0,78031
America,25/07/2021 - 31/07/2021,3888.8514285714286,12372.963284418562,-90,120781
America,01/08/2021 - 07/08/2021,5155.4628571428575,18684.143298884956,0,191156
America,08/08/2021 - 14/08/2021,6392.12,25074.333304814307,0,251959
America,15/08/2021 - 21/08/2021,7176.611428571428,28148.55854229598,0,226712
America,22/08/2021 - 28/08/2021,7942.217142857143,31561.838036827354,0,239003
America,29/08/2021 - 04/09/2021,7949.4914285714285,33079.40656580186,0,238345
America,05/09/2021 - 11/09/2021,8177.702857142857,34763.827103754054,0,235115
America,12/09/2021 - 18/09/2021,7281.114285714286,31588.234995038998,0,241690
America,19/09/2021 - 25/09/2021,7026.211428571429,30753.69763294682,0,210630
America,26/09/2021 - 02/10/2021,6016.925714285714,25136.134530554376,0,174569
America,03/10/2021 - 09/10/2021,5257.72,22488.975673570298,-34,154832
America,10/10/2021 - 16/10/2021,4606.062857142857,19933.026077617236,0,140564
America,17/10/2021 - 23/10/2021,3983.9142857142856,17332.237775564437,0,111005
America,24/10/2021 - 30/10/2021,3434.7542857142857,15086.07940324843,0,96631
America,31/10/2021 - 06/11/2021,3521.84,15558.65252371051,0,109473
America,07/11/2021 - 13/11/2021,3463.5714285714284,15442.18436822969,0,109840
America,14/11/2021 - 20/11/2021,3753.7085714285713,17299.12196066562,-407,144121
America,21/11/2021 - 27/11/2021,4278.868571428571,19505.082804996084,0,131057
America,28/11/2021 - 04/12/2021,3495.1885714285713,16260.446128314648,0,140896
America,05/12/2021 - 11/12/2021,5483.988571428571,25551.815824983783,0,185150
America,12/12/2021 - 18/12/2021,5366.994285714286,24806.616949686493,0,174919
America,19/12/2021 - 25/12/2021,6261.868571428571,27688.525227117858,0,192508
America,26/12/2021 - 01/01/2022,9959.57142857143,42605.2522446765,0,274389
America,02/01/2022 - 08/01/2022,20681.022857142856,87714.41073747494,0,597949
America,09/01/2022 - 15/01/2022,36898.67428571429,150771.20104047187,0,1042792
America,16/01/2022 - 22/01/2022,42790.46857142857,168052.45504961978,0,1354505
America,23/01/2022 - 29/01/2022,39705.99428571429,148294.54296500972,0,1132846
America,30/01/2022 - 05/02/2022,30040.577142857142,110996.23753571346,0,908747
America,06/02/2022 - 12/02/2022,18348.56,63106.33331875234,0,535312
America,13/02/2022 - 19/02/2022,12016.377142857144,39508.3121305969,0,342590
America,20/02/2022 - 26/02/2022,7979.845714285714,22649.487024821403,0,167199
America,27/02/2022 - 05/03/2022,5622.977142857143,14613.614609055603,0,89182
America,06/03/2022 - 12/03/2022,3942.2971428571427,11222.11065712925,0,96764
America,13/03/2022 - 19/03/2022,3097.554285714286,8202.764090216007,-400,61334
America,20/03/2022 - 26/03/2022,2666.08,7193.814620780893,-1073,52025
